"age_band","records","deaths","complete_case_records","complete_case_deaths","baseline","survey","country"
"1-5",10242,89,10242,89,"eligible_MAP","AO81FL","AGO"
"6-11",9981,62,9981,62,"eligible_MAP","AO81FL","AGO"
"12-23",8782,55,8782,55,"eligible_MAP","AO81FL","AGO"
"24-35",8523,46,8523,46,"eligible_MAP","AO81FL","AGO"
"36-47",8013,39,8013,39,"eligible_MAP","AO81FL","AGO"
"48-59",7763,22,7763,22,"eligible_MAP","AO81FL","AGO"
"<1",11400,185,11400,185,"regional_baseline","AO81FL","AGO"
"1-5",10242,89,10242,89,"regional_baseline","AO81FL","AGO"
"6-11",9981,62,9981,62,"regional_baseline","AO81FL","AGO"
"12-23",8782,55,8782,55,"regional_baseline","AO81FL","AGO"
"24-35",8523,46,8523,46,"regional_baseline","AO81FL","AGO"
"36-47",8013,39,8013,39,"regional_baseline","AO81FL","AGO"
"48-59",7763,22,7763,22,"regional_baseline","AO81FL","AGO"
"<1",7087,205,7087,205,"previous_primary","BU61FL","BDI"
"1-5",6389,84,6389,84,"previous_primary","BU61FL","BDI"
"6-11",6151,95,6151,95,"previous_primary","BU61FL","BDI"
"12-23",5219,55,5219,55,"previous_primary","BU61FL","BDI"
"24-35",4890,54,4890,54,"previous_primary","BU61FL","BDI"
"36-47",4570,34,4570,34,"previous_primary","BU61FL","BDI"
"48-59",4291,23,4291,23,"previous_primary","BU61FL","BDI"
"<1",7088,205,7088,205,"eligible_MAP","BU61FL","BDI"
"1-5",6390,84,6390,84,"eligible_MAP","BU61FL","BDI"
"6-11",6152,95,6152,95,"eligible_MAP","BU61FL","BDI"
"12-23",5220,55,5220,55,"eligible_MAP","BU61FL","BDI"
"24-35",4891,54,4891,54,"eligible_MAP","BU61FL","BDI"
"36-47",4571,34,4571,34,"eligible_MAP","BU61FL","BDI"
"48-59",4292,23,4292,23,"eligible_MAP","BU61FL","BDI"
"<1",7088,205,7088,205,"regional_baseline","BU61FL","BDI"
"1-5",6390,84,6390,84,"regional_baseline","BU61FL","BDI"
"6-11",6152,95,6152,95,"regional_baseline","BU61FL","BDI"
"12-23",5220,55,5220,55,"regional_baseline","BU61FL","BDI"
"24-35",4891,54,4891,54,"regional_baseline","BU61FL","BDI"
"36-47",4571,34,4571,34,"regional_baseline","BU61FL","BDI"
"48-59",4292,23,4292,23,"regional_baseline","BU61FL","BDI"
"<1",13184,286,13184,286,"previous_primary","BU71FL","BDI"
"1-5",12052,154,12052,154,"previous_primary","BU71FL","BDI"
"6-11",11596,109,11596,109,"previous_primary","BU71FL","BDI"
"12-23",9917,100,9917,100,"previous_primary","BU71FL","BDI"
"24-35",9858,72,9858,72,"previous_primary","BU71FL","BDI"
"36-47",9871,75,9871,75,"previous_primary","BU71FL","BDI"
"48-59",9544,39,9544,39,"previous_primary","BU71FL","BDI"
"<1",13184,286,13184,286,"eligible_MAP","BU71FL","BDI"
"1-5",12052,154,12052,154,"eligible_MAP","BU71FL","BDI"
"6-11",11596,109,11596,109,"eligible_MAP","BU71FL","BDI"
"12-23",9917,100,9917,100,"eligible_MAP","BU71FL","BDI"
"24-35",9858,72,9858,72,"eligible_MAP","BU71FL","BDI"
"36-47",9871,75,9871,75,"eligible_MAP","BU71FL","BDI"
"48-59",9544,39,9544,39,"eligible_MAP","BU71FL","BDI"
"<1",13184,286,13184,286,"regional_baseline","BU71FL","BDI"
"1-5",12052,154,12052,154,"regional_baseline","BU71FL","BDI"
"6-11",11596,109,11596,109,"regional_baseline","BU71FL","BDI"
"12-23",9917,100,9917,100,"regional_baseline","BU71FL","BDI"
"24-35",9858,72,9858,72,"regional_baseline","BU71FL","BDI"
"36-47",9871,75,9871,75,"regional_baseline","BU71FL","BDI"
"48-59",9544,39,9544,39,"regional_baseline","BU71FL","BDI"
"<1",418,19,0,0,"eligible_MAP","BJ41FL","BEN"
"1-5",312,4,0,0,"eligible_MAP","BJ41FL","BEN"
"6-11",272,8,0,0,"eligible_MAP","BJ41FL","BEN"
"12-23",158,3,0,0,"eligible_MAP","BJ41FL","BEN"
"24-35",146,3,0,0,"eligible_MAP","BJ41FL","BEN"
"36-47",155,1,0,0,"eligible_MAP","BJ41FL","BEN"
"48-59",127,0,0,0,"eligible_MAP","BJ41FL","BEN"
"<1",15403,482,0,0,"previous_primary","BJ51FL","BEN"
"1-5",13683,212,0,0,"previous_primary","BJ51FL","BEN"
"6-11",12712,268,0,0,"previous_primary","BJ51FL","BEN"
"12-23",10571,212,0,0,"previous_primary","BJ51FL","BEN"
"24-35",10846,193,0,0,"previous_primary","BJ51FL","BEN"
"36-47",10321,157,0,0,"previous_primary","BJ51FL","BEN"
"48-59",10183,67,0,0,"previous_primary","BJ51FL","BEN"
"<1",16165,508,0,0,"eligible_MAP","BJ51FL","BEN"
"1-5",14460,226,0,0,"eligible_MAP","BJ51FL","BEN"
"6-11",13511,279,0,0,"eligible_MAP","BJ51FL","BEN"
"12-23",11476,243,0,0,"eligible_MAP","BJ51FL","BEN"
"24-35",11537,209,0,0,"eligible_MAP","BJ51FL","BEN"
"36-47",10953,172,0,0,"eligible_MAP","BJ51FL","BEN"
"48-59",10732,71,0,0,"eligible_MAP","BJ51FL","BEN"
"<1",15413,482,0,0,"regional_baseline","BJ51FL","BEN"
"1-5",13694,212,0,0,"regional_baseline","BJ51FL","BEN"
"6-11",12722,268,0,0,"regional_baseline","BJ51FL","BEN"
"12-23",10582,212,0,0,"regional_baseline","BJ51FL","BEN"
"24-35",10858,193,0,0,"regional_baseline","BJ51FL","BEN"
"36-47",10333,157,0,0,"regional_baseline","BJ51FL","BEN"
"48-59",10194,67,0,0,"regional_baseline","BJ51FL","BEN"
"<1",13458,316,13458,316,"previous_primary","BJ61FL","BEN"
"1-5",12146,129,12146,129,"previous_primary","BJ61FL","BEN"
"6-11",11550,99,11550,99,"previous_primary","BJ61FL","BEN"
"12-23",10113,93,10113,93,"previous_primary","BJ61FL","BEN"
"24-35",10564,97,10564,97,"previous_primary","BJ61FL","BEN"
"36-47",10176,70,10176,70,"previous_primary","BJ61FL","BEN"
"48-59",10164,50,10164,50,"previous_primary","BJ61FL","BEN"
"<1",13458,316,13458,316,"eligible_MAP","BJ61FL","BEN"
"1-5",12146,129,12146,129,"eligible_MAP","BJ61FL","BEN"
"6-11",11550,99,11550,99,"eligible_MAP","BJ61FL","BEN"
"12-23",10113,93,10113,93,"eligible_MAP","BJ61FL","BEN"
"24-35",10564,97,10564,97,"eligible_MAP","BJ61FL","BEN"
"36-47",10176,70,10176,70,"eligible_MAP","BJ61FL","BEN"
"48-59",10164,50,10164,50,"eligible_MAP","BJ61FL","BEN"
"<1",13458,316,13458,316,"regional_baseline","BJ61FL","BEN"
"1-5",12146,129,12146,129,"regional_baseline","BJ61FL","BEN"
"6-11",11550,99,11550,99,"regional_baseline","BJ61FL","BEN"
"12-23",10113,93,10113,93,"regional_baseline","BJ61FL","BEN"
"24-35",10564,97,10564,97,"regional_baseline","BJ61FL","BEN"
"36-47",10176,70,10176,70,"regional_baseline","BJ61FL","BEN"
"48-59",10164,50,10164,50,"regional_baseline","BJ61FL","BEN"
"<1",13516,394,13516,394,"previous_primary","BJ71FL","BEN"
"1-5",12129,137,12129,137,"previous_primary","BJ71FL","BEN"
"6-11",11371,146,11371,146,"previous_primary","BJ71FL","BEN"
"12-23",9958,148,9958,148,"previous_primary","BJ71FL","BEN"
"24-35",9621,116,9621,116,"previous_primary","BJ71FL","BEN"
"36-47",9350,103,9350,103,"previous_primary","BJ71FL","BEN"
"48-59",8868,41,8868,41,"previous_primary","BJ71FL","BEN"
"<1",13516,394,13516,394,"eligible_MAP","BJ71FL","BEN"
"1-5",12129,137,12129,137,"eligible_MAP","BJ71FL","BEN"
"6-11",11371,146,11371,146,"eligible_MAP","BJ71FL","BEN"
"12-23",9958,148,9958,148,"eligible_MAP","BJ71FL","BEN"
"24-35",9621,116,9621,116,"eligible_MAP","BJ71FL","BEN"
"36-47",9350,103,9350,103,"eligible_MAP","BJ71FL","BEN"
"48-59",8868,41,8868,41,"eligible_MAP","BJ71FL","BEN"
"<1",13516,394,13516,394,"regional_baseline","BJ71FL","BEN"
"1-5",12129,137,12129,137,"regional_baseline","BJ71FL","BEN"
"6-11",11371,146,11371,146,"regional_baseline","BJ71FL","BEN"
"12-23",9958,148,9958,148,"regional_baseline","BJ71FL","BEN"
"24-35",9621,116,9621,116,"regional_baseline","BJ71FL","BEN"
"36-47",9350,103,9350,103,"regional_baseline","BJ71FL","BEN"
"48-59",8868,41,8868,41,"regional_baseline","BJ71FL","BEN"
"<1",5786,162,5786,162,"previous_primary","BF43FL","BFA"
"1-5",4821,119,4821,119,"previous_primary","BF43FL","BFA"
"6-11",4534,128,4534,128,"previous_primary","BF43FL","BFA"
"12-23",3343,139,3343,139,"previous_primary","BF43FL","BFA"
"24-35",3109,83,3109,83,"previous_primary","BF43FL","BFA"
"36-47",3316,71,3316,71,"previous_primary","BF43FL","BFA"
"48-59",2984,27,2984,27,"previous_primary","BF43FL","BFA"
"<1",7679,220,5786,162,"eligible_MAP","BF43FL","BFA"
"1-5",6648,150,4821,119,"eligible_MAP","BF43FL","BFA"
"6-11",6396,168,4534,128,"eligible_MAP","BF43FL","BFA"
"12-23",5384,220,3343,139,"eligible_MAP","BF43FL","BFA"
"24-35",4984,144,3109,83,"eligible_MAP","BF43FL","BFA"
"36-47",4826,94,3316,71,"eligible_MAP","BF43FL","BFA"
"48-59",4861,49,2984,27,"eligible_MAP","BF43FL","BFA"
"<1",5786,162,5786,162,"regional_baseline","BF43FL","BFA"
"1-5",4821,119,4821,119,"regional_baseline","BF43FL","BFA"
"6-11",4534,128,4534,128,"regional_baseline","BF43FL","BFA"
"12-23",3343,139,3343,139,"regional_baseline","BF43FL","BFA"
"24-35",3109,83,3109,83,"regional_baseline","BF43FL","BFA"
"36-47",3316,71,3316,71,"regional_baseline","BF43FL","BFA"
"48-59",2984,27,2984,27,"regional_baseline","BF43FL","BFA"
"<1",15120,427,15120,427,"previous_primary","BF62FL","BFA"
"1-5",13560,196,13560,196,"previous_primary","BF62FL","BFA"
"6-11",12954,275,12954,275,"previous_primary","BF62FL","BFA"
"12-23",11131,279,11131,279,"previous_primary","BF62FL","BFA"
"24-35",11040,229,11040,229,"previous_primary","BF62FL","BFA"
"36-47",10633,120,10633,120,"previous_primary","BF62FL","BFA"
"48-59",10256,84,10256,84,"previous_primary","BF62FL","BFA"
"<1",15127,427,15127,427,"eligible_MAP","BF62FL","BFA"
"1-5",13567,196,13567,196,"eligible_MAP","BF62FL","BFA"
"6-11",12963,275,12963,275,"eligible_MAP","BF62FL","BFA"
"12-23",11138,279,11138,279,"eligible_MAP","BF62FL","BFA"
"24-35",11045,229,11045,229,"eligible_MAP","BF62FL","BFA"
"36-47",10640,120,10640,120,"eligible_MAP","BF62FL","BFA"
"48-59",10263,84,10263,84,"eligible_MAP","BF62FL","BFA"
"<1",15127,427,15127,427,"regional_baseline","BF62FL","BFA"
"1-5",13567,196,13567,196,"regional_baseline","BF62FL","BFA"
"6-11",12963,275,12963,275,"regional_baseline","BF62FL","BFA"
"12-23",11138,279,11138,279,"regional_baseline","BF62FL","BFA"
"24-35",11045,229,11045,229,"regional_baseline","BF62FL","BFA"
"36-47",10640,120,10640,120,"regional_baseline","BF62FL","BFA"
"48-59",10263,84,10263,84,"regional_baseline","BF62FL","BFA"
"<1",12320,236,12320,236,"previous_primary","BF81FL","BFA"
"1-5",11222,82,11222,82,"previous_primary","BF81FL","BFA"
"6-11",10938,59,10938,59,"previous_primary","BF81FL","BFA"
"12-23",9793,58,9793,58,"previous_primary","BF81FL","BFA"
"24-35",10184,42,10184,42,"previous_primary","BF81FL","BFA"
"36-47",9953,45,9953,45,"previous_primary","BF81FL","BFA"
"48-59",9717,21,9717,21,"previous_primary","BF81FL","BFA"
"<1",12320,236,12320,236,"eligible_MAP","BF81FL","BFA"
"1-5",11222,82,11222,82,"eligible_MAP","BF81FL","BFA"
"6-11",10938,59,10938,59,"eligible_MAP","BF81FL","BFA"
"12-23",9793,58,9793,58,"eligible_MAP","BF81FL","BFA"
"24-35",10184,42,10184,42,"eligible_MAP","BF81FL","BFA"
"36-47",9953,45,9953,45,"eligible_MAP","BF81FL","BFA"
"48-59",9717,21,9717,21,"eligible_MAP","BF81FL","BFA"
"<1",12320,236,12320,236,"regional_baseline","BF81FL","BFA"
"1-5",11222,82,11222,82,"regional_baseline","BF81FL","BFA"
"6-11",10938,59,10938,59,"regional_baseline","BF81FL","BFA"
"12-23",9793,58,9793,58,"regional_baseline","BF81FL","BFA"
"24-35",10184,42,10184,42,"regional_baseline","BF81FL","BFA"
"36-47",9953,45,9953,45,"regional_baseline","BF81FL","BFA"
"48-59",9717,21,9717,21,"regional_baseline","BF81FL","BFA"
"<1",7313,285,7313,285,"previous_primary","CI62FL","CIV"
"1-5",6471,108,6471,108,"previous_primary","CI62FL","CIV"
"6-11",6006,89,6006,89,"previous_primary","CI62FL","CIV"
"12-23",5147,102,5147,102,"previous_primary","CI62FL","CIV"
"24-35",5081,63,5081,63,"previous_primary","CI62FL","CIV"
"36-47",4953,47,4953,47,"previous_primary","CI62FL","CIV"
"48-59",4789,24,4789,24,"previous_primary","CI62FL","CIV"
"<1",7319,286,7319,286,"eligible_MAP","CI62FL","CIV"
"1-5",6476,108,6476,108,"eligible_MAP","CI62FL","CIV"
"6-11",6010,89,6010,89,"eligible_MAP","CI62FL","CIV"
"12-23",5149,102,5149,102,"eligible_MAP","CI62FL","CIV"
"24-35",5084,63,5084,63,"eligible_MAP","CI62FL","CIV"
"36-47",4956,47,4956,47,"eligible_MAP","CI62FL","CIV"
"48-59",4791,24,4791,24,"eligible_MAP","CI62FL","CIV"
"<1",7319,286,7319,286,"regional_baseline","CI62FL","CIV"
"1-5",6476,108,6476,108,"regional_baseline","CI62FL","CIV"
"6-11",6010,89,6010,89,"regional_baseline","CI62FL","CIV"
"12-23",5149,102,5149,102,"regional_baseline","CI62FL","CIV"
"24-35",5084,63,5084,63,"regional_baseline","CI62FL","CIV"
"36-47",4956,47,4956,47,"regional_baseline","CI62FL","CIV"
"48-59",4791,24,4791,24,"regional_baseline","CI62FL","CIV"
"<1",10648,324,10648,324,"previous_primary","CI81FL","CIV"
"1-5",9552,124,9552,124,"previous_primary","CI81FL","CIV"
"6-11",9167,100,9167,100,"previous_primary","CI81FL","CIV"
"12-23",7997,86,7997,86,"previous_primary","CI81FL","CIV"
"24-35",8149,57,8149,57,"previous_primary","CI81FL","CIV"
"36-47",7900,41,7900,41,"previous_primary","CI81FL","CIV"
"48-59",7752,33,7752,33,"previous_primary","CI81FL","CIV"
"<1",10648,324,10648,324,"eligible_MAP","CI81FL","CIV"
"1-5",9552,124,9552,124,"eligible_MAP","CI81FL","CIV"
"6-11",9167,100,9167,100,"eligible_MAP","CI81FL","CIV"
"12-23",7997,86,7997,86,"eligible_MAP","CI81FL","CIV"
"24-35",8149,57,8149,57,"eligible_MAP","CI81FL","CIV"
"36-47",7900,41,7900,41,"eligible_MAP","CI81FL","CIV"
"48-59",7752,33,7752,33,"eligible_MAP","CI81FL","CIV"
"<1",10648,324,10648,324,"regional_baseline","CI81FL","CIV"
"1-5",9552,124,9552,124,"regional_baseline","CI81FL","CIV"
"6-11",9167,100,9167,100,"regional_baseline","CI81FL","CIV"
"12-23",7997,86,7997,86,"regional_baseline","CI81FL","CIV"
"24-35",8149,57,8149,57,"regional_baseline","CI81FL","CIV"
"36-47",7900,41,7900,41,"regional_baseline","CI81FL","CIV"
"48-59",7752,33,7752,33,"regional_baseline","CI81FL","CIV"
"<1",5834,157,5834,157,"previous_primary","CM44FL","CMR"
"1-5",5057,101,5057,101,"previous_primary","CM44FL","CMR"
"6-11",4545,126,4545,126,"previous_primary","CM44FL","CMR"
"12-23",3393,97,3393,97,"previous_primary","CM44FL","CMR"
"24-35",3618,71,3618,71,"previous_primary","CM44FL","CMR"
"36-47",3195,45,3195,45,"previous_primary","CM44FL","CMR"
"48-59",3207,26,3207,26,"previous_primary","CM44FL","CMR"
"<1",7327,212,5844,157,"eligible_MAP","CM44FL","CMR"
"1-5",6485,135,5065,101,"eligible_MAP","CM44FL","CMR"
"6-11",6052,169,4552,126,"eligible_MAP","CM44FL","CMR"
"12-23",5009,143,3397,97,"eligible_MAP","CM44FL","CMR"
"24-35",4856,86,3625,71,"eligible_MAP","CM44FL","CMR"
"36-47",4573,73,3201,45,"eligible_MAP","CM44FL","CMR"
"48-59",4405,34,3212,26,"eligible_MAP","CM44FL","CMR"
"<1",5844,157,5844,157,"regional_baseline","CM44FL","CMR"
"1-5",5065,101,5065,101,"regional_baseline","CM44FL","CMR"
"6-11",4552,126,4552,126,"regional_baseline","CM44FL","CMR"
"12-23",3397,97,3397,97,"regional_baseline","CM44FL","CMR"
"24-35",3625,71,3625,71,"regional_baseline","CM44FL","CMR"
"36-47",3201,45,3201,45,"regional_baseline","CM44FL","CMR"
"48-59",3212,26,3212,26,"regional_baseline","CM44FL","CMR"
"<1",11826,361,11826,361,"previous_primary","CM61FL","CMR"
"1-5",10570,130,10570,130,"previous_primary","CM61FL","CMR"
"6-11",9939,186,9939,186,"previous_primary","CM61FL","CMR"
"12-23",8399,201,8399,201,"previous_primary","CM61FL","CMR"
"24-35",8159,160,8159,160,"previous_primary","CM61FL","CMR"
"36-47",7979,70,7979,70,"previous_primary","CM61FL","CMR"
"48-59",7747,43,7747,43,"previous_primary","CM61FL","CMR"
"<1",11831,361,11831,361,"eligible_MAP","CM61FL","CMR"
"1-5",10575,130,10575,130,"eligible_MAP","CM61FL","CMR"
"6-11",9945,186,9945,186,"eligible_MAP","CM61FL","CMR"
"12-23",8403,201,8403,201,"eligible_MAP","CM61FL","CMR"
"24-35",8163,160,8163,160,"eligible_MAP","CM61FL","CMR"
"36-47",7982,70,7982,70,"eligible_MAP","CM61FL","CMR"
"48-59",7750,43,7750,43,"eligible_MAP","CM61FL","CMR"
"<1",11831,361,11831,361,"regional_baseline","CM61FL","CMR"
"1-5",10575,130,10575,130,"regional_baseline","CM61FL","CMR"
"6-11",9945,186,9945,186,"regional_baseline","CM61FL","CMR"
"12-23",8403,201,8403,201,"regional_baseline","CM61FL","CMR"
"24-35",8163,160,8163,160,"regional_baseline","CM61FL","CMR"
"36-47",7982,70,7982,70,"regional_baseline","CM61FL","CMR"
"48-59",7750,43,7750,43,"regional_baseline","CM61FL","CMR"
"<1",8042,271,8042,271,"previous_primary","CM71FL","CMR"
"1-5",7197,71,7197,71,"previous_primary","CM71FL","CMR"
"6-11",7058,75,7058,75,"previous_primary","CM71FL","CMR"
"12-23",6112,62,6112,62,"previous_primary","CM71FL","CMR"
"24-35",5997,59,5997,59,"previous_primary","CM71FL","CMR"
"36-47",5893,50,5893,50,"previous_primary","CM71FL","CMR"
"48-59",5675,25,5675,25,"previous_primary","CM71FL","CMR"
"<1",8042,271,8042,271,"eligible_MAP","CM71FL","CMR"
"1-5",7197,71,7197,71,"eligible_MAP","CM71FL","CMR"
"6-11",7058,75,7058,75,"eligible_MAP","CM71FL","CMR"
"12-23",6112,62,6112,62,"eligible_MAP","CM71FL","CMR"
"24-35",5997,59,5997,59,"eligible_MAP","CM71FL","CMR"
"36-47",5893,50,5893,50,"eligible_MAP","CM71FL","CMR"
"48-59",5675,25,5675,25,"eligible_MAP","CM71FL","CMR"
"<1",8042,271,8042,271,"regional_baseline","CM71FL","CMR"
"1-5",7197,71,7197,71,"regional_baseline","CM71FL","CMR"
"6-11",7058,75,7058,75,"regional_baseline","CM71FL","CMR"
"12-23",6112,62,6112,62,"regional_baseline","CM71FL","CMR"
"24-35",5997,59,5997,59,"regional_baseline","CM71FL","CMR"
"36-47",5893,50,5893,50,"regional_baseline","CM71FL","CMR"
"48-59",5675,25,5675,25,"regional_baseline","CM71FL","CMR"
"<1",8990,334,8990,334,"previous_primary","CD51FL","COD"
"1-5",7933,208,7933,208,"previous_primary","CD51FL","COD"
"6-11",7500,221,7500,221,"previous_primary","CD51FL","COD"
"12-23",6196,155,6196,155,"previous_primary","CD51FL","COD"
"24-35",5915,110,5915,110,"previous_primary","CD51FL","COD"
"36-47",5618,51,5618,51,"previous_primary","CD51FL","COD"
"48-59",5226,36,5226,36,"previous_primary","CD51FL","COD"
"<1",9043,340,9043,340,"eligible_MAP","CD51FL","COD"
"1-5",7977,209,7977,209,"eligible_MAP","CD51FL","COD"
"6-11",7541,221,7541,221,"eligible_MAP","CD51FL","COD"
"12-23",6230,158,6230,158,"eligible_MAP","CD51FL","COD"
"24-35",5945,110,5945,110,"eligible_MAP","CD51FL","COD"
"36-47",5651,51,5651,51,"eligible_MAP","CD51FL","COD"
"48-59",5260,36,5260,36,"eligible_MAP","CD51FL","COD"
"<1",9043,340,9043,340,"regional_baseline","CD51FL","COD"
"1-5",7977,209,7977,209,"regional_baseline","CD51FL","COD"
"6-11",7541,221,7541,221,"regional_baseline","CD51FL","COD"
"12-23",6230,158,6230,158,"regional_baseline","CD51FL","COD"
"24-35",5945,110,5945,110,"regional_baseline","CD51FL","COD"
"36-47",5651,51,5651,51,"regional_baseline","CD51FL","COD"
"48-59",5260,36,5260,36,"regional_baseline","CD51FL","COD"
"<1",18750,522,18750,522,"previous_primary","CD61FL","COD"
"1-5",16701,253,16701,253,"previous_primary","CD61FL","COD"
"6-11",15974,263,15974,263,"previous_primary","CD61FL","COD"
"12-23",13639,225,13639,225,"previous_primary","CD61FL","COD"
"24-35",13191,210,13191,210,"previous_primary","CD61FL","COD"
"36-47",12263,124,12263,124,"previous_primary","CD61FL","COD"
"48-59",11607,89,11607,89,"previous_primary","CD61FL","COD"
"<1",18750,522,18750,522,"eligible_MAP","CD61FL","COD"
"1-5",16701,253,16701,253,"eligible_MAP","CD61FL","COD"
"6-11",15974,263,15974,263,"eligible_MAP","CD61FL","COD"
"12-23",13639,225,13639,225,"eligible_MAP","CD61FL","COD"
"24-35",13191,210,13191,210,"eligible_MAP","CD61FL","COD"
"36-47",12263,124,12263,124,"eligible_MAP","CD61FL","COD"
"48-59",11607,89,11607,89,"eligible_MAP","CD61FL","COD"
"<1",18750,522,18750,522,"regional_baseline","CD61FL","COD"
"1-5",16701,253,16701,253,"regional_baseline","CD61FL","COD"
"6-11",15974,263,15974,263,"regional_baseline","CD61FL","COD"
"12-23",13639,225,13639,225,"regional_baseline","CD61FL","COD"
"24-35",13191,210,13191,210,"regional_baseline","CD61FL","COD"
"36-47",12263,124,12263,124,"regional_baseline","CD61FL","COD"
"48-59",11607,89,11607,89,"regional_baseline","CD61FL","COD"
"<1",24202,594,24202,594,"previous_primary","CD81FL","COD"
"1-5",21708,324,21708,324,"previous_primary","CD81FL","COD"
"6-11",20905,396,20905,396,"previous_primary","CD81FL","COD"
"12-23",18432,267,18432,267,"previous_primary","CD81FL","COD"
"24-35",18266,241,18266,241,"previous_primary","CD81FL","COD"
"36-47",17299,131,17299,131,"previous_primary","CD81FL","COD"
"48-59",16809,90,16809,90,"previous_primary","CD81FL","COD"
"<1",24202,594,24202,594,"eligible_MAP","CD81FL","COD"
"1-5",21708,324,21708,324,"eligible_MAP","CD81FL","COD"
"6-11",20905,396,20905,396,"eligible_MAP","CD81FL","COD"
"12-23",18432,267,18432,267,"eligible_MAP","CD81FL","COD"
"24-35",18266,241,18266,241,"eligible_MAP","CD81FL","COD"
"36-47",17299,131,17299,131,"eligible_MAP","CD81FL","COD"
"48-59",16809,90,16809,90,"eligible_MAP","CD81FL","COD"
"<1",24202,594,24202,594,"regional_baseline","CD81FL","COD"
"1-5",21708,324,21708,324,"regional_baseline","CD81FL","COD"
"6-11",20905,396,20905,396,"regional_baseline","CD81FL","COD"
"12-23",18432,267,18432,267,"regional_baseline","CD81FL","COD"
"24-35",18266,241,18266,241,"regional_baseline","CD81FL","COD"
"36-47",17299,131,17299,131,"regional_baseline","CD81FL","COD"
"48-59",16809,90,16809,90,"regional_baseline","CD81FL","COD"
"<1",3970,134,3970,134,"previous_primary","CG51FL","COG"
"1-5",3413,58,3413,58,"previous_primary","CG51FL","COG"
"6-11",3263,59,3263,59,"previous_primary","CG51FL","COG"
"12-23",2690,44,2690,44,"previous_primary","CG51FL","COG"
"24-35",2381,22,2381,22,"previous_primary","CG51FL","COG"
"36-47",2378,16,2378,16,"previous_primary","CG51FL","COG"
