source_id,title,organization,publication_year,publication_date,url,locator,access_method,accessed_on
BFA1,Burkina Faso’s promising strategy to eradicate malaria,IDRC,2019,2019-04-24,https://idrc-crdi.ca/en/research-in-action/burkina-fasos-promising-strategy-eradicate-malaria,Ingredients for successful implementation,full_web_text,2026-09-16
BFA2,Assessing the effect of seasonal malaria chemoprevention on malaria burden among children under 5 years in Burkina Faso,Malaria Journal / implementation researchers,2022,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9074217/,Abstract and Background: 2014 launch and expansion through 2019,indexed_excerpt; direct PMC opening challenged,2026-09-16
MSF1,A novel prevention programme has dramatically reduced malaria cases in Mali and Chad,Medecins Sans Frontieres,2012,2012-09-24,https://www.msf.org/mali-and-chad-novel-prevention-programme-has-dramatically-reduced-malaria-cases,Programme sites and first large-scale MSF distribution in 2012,web_search_full_article_text,2026-09-16
TCD1,Seasonal Malaria Chemoprevention in Chad: Coverage surveys 2017,SMC programme coverage survey; hosted by GiveWell,2017,,https://files.givewell.org/files/DWDA%202009/Malaria%20Consortium/SMC_in_Chad_Coverage_surveys_2017.pdf,Introduction: Moissala 2012 and expansion in 2014,indexed_excerpt; full PDF fetch unavailable,2026-09-16
TCD2,Extending Delivery of Seasonal Malaria Chemoprevention to Children Aged 5–10 Years in Chad: A Mixed-Methods Study,American Journal of Tropical Medicine and Hygiene / programme researchers,2022,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8885336/,Introduction: 2013 introduction label and 2014 scale-up,indexed_excerpt,2026-09-16
ACCESS1,Effectiveness of seasonal malaria chemoprevention at scale in west and central Africa: an observational study,ACCESS-SMC Partnership / The Lancet,2020,,https://msh.org/wp-content/uploads/2021/01/access-smc_partnership_effectiveness_of_smc_at_scale_in_west_and_central_africa_-_an_observational_study.pdf,PDF page 8: Gambia 2014 introduction; Methods: 2015–2016 project delivery,full_pdf_text,2026-09-16
MLI1,Eleventh Annual Report to Congress,US President’s Malaria Initiative,2017,,https://www.pmi.gov/wp-content/uploads/2021/03/2017-pmi-eleventh-annual-report.pdf,Printed page 28: all 64 Mali districts covered in 2016,indexed_excerpt,2026-09-16
MLI2,ACCESS-SMC strengthens pharmacovigilance practices in Mali,Malaria Consortium,2016,2016-08-31,https://www.malariaconsortium.org/news/access-smc-strengthens-pharmacovigilance-practices-in-maliandnbsp,Opening paragraph: 48 districts in 2015; all 63 planned in 2016,web_search_article_text,2026-09-16
WHO1,World malaria report 2023: Global messaging briefing kit,World Health Organization,2023,2023-11-30,https://cdn.who.int/media/docs/default-source/malaria/world-malaria-reports/world-malaria-report-2023-global-briefing-kit-eng.pdf,Printed/PDF page 8: first implementation in Mauritania in 2022,full_pdf_text,2026-09-16
WHO2,Seasonal malaria chemoprevention: OPT-SMC project,WHO TDR,,,https://tdr.who.int/activities/seasonal-malaria-chemoprevention-opt-smc-project,Overview: policy/strategic-plan adoption includes Mauritania; no deployment year,web_search_article_text,2026-09-16
