api,region
savanes,north
zanzan,northeast
montagnes,west
bassassandra,southwest
valleedubandama,northcentral
centreest,eastcentral
centreouest,westcentral
sudsansabidjan,south
southbuganda,central1
northbuganda,central2
bugisuelgon,bugishu
zambezi,caprivi
bascongo,kongocentral
northernprovince,limpopo
kigalivillepvk,kigalicity
kigalirurale,kigalirural
anamoroniimania,amoronimania
atlantique,atlantic
lome,greaterlomearea
maritime,maritimeexcludinggreaterlomearea
ensemblemaritime,maritime
hautlomani,hautlomami
lomani,lomami
tanganyka,tanganyika
kasaioccident,kasaioccidental
adamaoua,adamawa
oromia,oromiya
snnpr,snnp
afar,affar
gambela,gambella
vakinankarata,vakinankaratra
kigali,cityofkigali
