survey,interview_year,verdict,regions,region_level,boundary,births_last5y,u5_deaths_last5y,reason,source
BEN_2014_MICS5_v01_M,2014,include,12,admin-1 (12 départements),"Matches BJ2017DHS and BJ2012DHS (LEVELNA 'Departments', 12 polygons) one-to-one: Atlantique = Atlantic, Ouémé = Oueme/queme; the other 10 names are identical.",12710,1028,"National survey. The birth history is complete and CMC-dated. All 13 covariates can be computed, reusing DHS department boundaries, and the national series and MAP surface exist. Does not duplicate DHS 2012 or 2017. Caveat: facility delivery uses a 2-year last-birth window.",audit agent + adversarial check pending
BEN_2021_MICS6_v01_M,2021,include,12,admin-1 (12 départements),"Matches BJ2017DHS and BJ2012DHS (12 'Departments') one-to-one: ATLANTIQUE = Atlantic, OUEME = Oueme.",13288,787,"National survey with a complete CBH, all covariates computable and existing department boundaries. No DHS for Benin after 2017 is in the registry, so no duplication. Routine decisions: pool measles across VAR and RR, and code off-grid electricity. Delivery uses a 2-year window.",audit agent + adversarial check pending
CAF_2018_MICS6_v01_M,2019,include_with_work,7,planning regions (groups of prefectures),No DHS boundary for CAF; dissolve prefecture polygons from an admin-1 source into the 7 regions,8848,633,New country for the study; needs a new boundary source.,direct check
CIV_2016_MICS5_v01_M,2016,include,11,"zone/group of admin-1 (11 pre-2011 regions, labelled 'Groups of Regions' by DHS)","Matches CI2012DHS (11 polygons, LEVELNA 'Groups of Regions') name for name: Centre, Centre-Est, Centre-Nord, Centre-Ouest, Nord, Nord-Est, Nord-Ouest, Ouest, 'Sud sans Ville d'Abidjan' = 'sud sans abidjan', Sud-Ouest, Ville d'Abidjan. Does NOT match CI2021DHS (14 districts).",9384,778,"National survey with a complete CBH. All covariates can be computed (age at first birth from the birth history), and CI2012DHS boundaries can be reused as they are. Does not duplicate DHS 2012 or 2021. Caveats: 2-year delivery window, and 6.7% of recent births have imputed dates.",audit agent + adversarial check pending
CMR_2014_MICS5_v01_M,2014,include,12,"admin-1 (10 regions, with Douala and Yaounde split out as separate domains)","Matches the 12 polygons of CM2011DHS and CM2018DHS (adamaoua, centre, douala, est, extreme-nord, littoral, nord, nord-ouest, ouest, sud, sud-ouest, yaounde). Two mappings are needed: 'Centre (sans Yaounde)' -> centre and 'Littoral (sans Douala)' -> littoral. Accents must be stripped (Extreme-Nord, Yaounde). The existing CM overrides (adamaoua->adamawa) apply.",7337,552,"Complete birth history. Entry years 2009-2014, between the CM2011 and CM2018 DHS windows; a separate survey, not a duplicate. All 13 covariates are present or derivable, with WHO z-scores that reproduce the published figures. The 12 regions match existing CM DHS boundaries. National series are complete and a MAP surface exists. Routine work: education years across the two school systems, a rule for day code 99 on vaccination cards, and a flag for the 2-year delivery window.",audit agent + adversarial check pending
COD_2017_MICS6_v01_M,2018,include,26,admin-1 provinces (post-2015),Matches the 26 provinces of CD2023DHS,21382,1186,All covariates present with WHO z-scores; national series complete.,direct check
COG_2014_MICS5_v01_M,2015,include,12,admin-1 departments,Matches CG2011DHS 12 departments name for name,9117,467,All covariates present; national series complete.,direct check
COM_2022_MICS6_v01_M,2022,include,3,admin-1 (3 autonomous islands),"Matches KM2012DHS: DHSREGEN Mwali, Ndzuwani, Ngazidja (LEVELNA Autonomous Islands; REGNAME moheli/ndzouani/ngazidja).",4370,132,"The birth history is complete, all 13 covariates are present or derivable (DTP3 slightly understated because recall dose counts are unusable), the 3 islands reuse the KM2012DHS boundary, national series are complete, a MAP surface exists, and it does not duplicate the only Comoros DHS (2012).",audit agent + adversarial check pending
GHA_2011_MICS4_v01_M,2011,include,10,admin-1 (the 10 pre-2018 regions),"Matches the 10 regions of GH2008DHS and GH2014DHS. One synonym is needed: MICS 'Asante' = DHS 'Ashanti'. It does not match GH2022DHS, which has the 16 post-2018 regions.",7581,546,"Complete birth history. Entry years 2006-2011. All 13 covariates are present or derivable, with WHO z-scores that reproduce the published national figures. The 10 regions match existing GH DHS boundaries. National series are complete and a MAP surface exists. Not a DHS duplicate. The 2-year delivery window needs a flag.",audit agent + adversarial check pending
GHA_2017_MICS6_v01_M,2017,include,10,admin-1 (the 10 pre-2018 regions),The names (WESTERN ... UPPER WEST) match the 10 regions of GH2014DHS and GH2008DHS exactly after case folding. It does not match GH2022DHS (16 new regions).,8574,362,"Complete birth history. Entry years 2012-2017. All 13 covariates are present or derivable, with WHO z-scores that reproduce the published figures. Regions match GH2014DHS. National series are complete and a MAP surface exists. Not a duplicate of GH2014 or GH2022 DHS. The 2-year delivery window needs a flag.",audit agent + adversarial check pending
GIN_2016_MICS5_v01_M,2016,include_with_work,8,admin-1 (7 regions + Conakry),"Matches GN2018DHS and GN2012DHS (8 'Regions') one-to-one: Boké, Conakry, Faranah, Kankan, Kindia, Labé, Mamou, N'Zérékoré (NZerekore).",7402,485,"National survey with a complete CBH, existing DHS region boundaries and a MAP surface, and no duplication of DHS 2012 or 2018. One substantive step: decide how to handle DTP3 given the missing recall dose count (polio-dose proxy, card-only, or the project's national fallback), because the options differ by up to 20 points. Delivery uses a 3-year last-birth window.",audit agent + adversarial check pending
GMB_2018_MICS6_v01_M,2018,include,8,admin-1 (Local Government Areas),"Exact match to the 8 LGA polygons in GM2019DHS and GM2013DHS (Banjul, Kanifing, Brikama, Mansakonko, Kerewan, Kuntaur, Janjanbureh, Basse); only the case differs.",9993,489,"The birth history is complete with near-complete date reporting, all 13 covariates are available or routinely derivable (WHO z-scores supplied), and the regions match existing Gambia DHS LGA polygons exactly.",audit agent + adversarial check pending
GNB_2014_MICS5_v01_M,2014,include_with_work,9,admin-1 (8 regions + Sector Autónomo de Bissau),"No DHS boundary for Guinea-Bissau (no GNB DHS in the study). Needs an admin-1 source such as GADM level 1 (9 units: Bafatá, Biombo, Bissau = SAB, Bolama = Bolama/Bijagós, Cacheu, Gabú, Oio, Quinara, Tombali).",7677,504,"National survey with a complete CBH, all 13 covariates computable, complete national series and a MAP surface. It adds a country with no DHS. The substantive step is sourcing and name-matching admin-1 polygons (e.g. GADM) for MAP extraction.",audit agent + adversarial check pending
GNB_2018_MICS6_v01_M,2019,include_with_work,9,admin-1 (8 regions + SAB),No DHS boundary for Guinea-Bissau. Same 9 regions as GNB 2014; needs GADM admin-1 or an equivalent 9-unit source.,7296,303,"National survey with a complete CBH, all covariates computable, complete national series and a MAP surface. Needs new admin-1 polygons for Guinea-Bissau, shared with GNB 2014. Off-grid electricity coding needs a deliberate choice.",audit agent + adversarial check pending
KEN(Bungoma County)_2013_MICS5_v01_M,2013,exclude,1,single county / province / settlement,County polygons exist in KE2014DHS,807,22,"Sub-national sample (one county, one former province or informal settlements), not nationally representative; excluded for consistency with the national-survey design.",direct check
KEN(Kakamega County)_2013_MICS5_v01_M,2013,exclude,1,single county / province / settlement,County polygons exist in KE2014DHS,731,39,"Sub-national sample (one county, one former province or informal settlements), not nationally representative; excluded for consistency with the national-survey design.",direct check
